Episode   248 | score=   600 | reward=    6.00 | moves=  81 | max_tile=   64
Episode   249 | score=  2764 | reward=   27.64 | moves= 225 | max_tile=  256
Episode   250 | score=   820 | reward=    8.20 | moves= 109 | max_tile=   64
Episode   251 | score=  1540 | reward=   15.40 | moves= 151 | max_tile=  128
Episode   252 | score=  2436 | reward=   24.36 | moves= 212 | max_tile=  256
Episode   253 | score=   628 | reward=    6.28 | moves=  88 | max_tile=   64
Episode   254 | score=  1576 | reward=   15.76 | moves= 155 | max_tile=  128
Episode   255 | score=  1088 | reward=   10.88 | moves= 127 | max_tile=   64
Episode   256 | score=  1032 | reward=   10.32 | moves= 126 | max_tile=   64
Episode   257 | score=   480 | reward=    4.80 | moves=  77 | max_tile=   32
Episode   258 | score=   988 | reward=    9.88 | moves= 117 | max_tile=   64
Episode   259 | score=   816 | reward=    8.16 | moves= 102 | max_tile=   64
Episode   260 | score=  2172 | reward=   21.72 | moves= 185 | max_tile=  256
Episode   261 | score=   576 | reward=    5.76 | moves=  79 | max_tile=   64
Episode   262 | score=   680 | reward=    6.80 | moves=  89 | max_tile=   64
Episode   263 | score=   712 | reward=    7.12 | moves=  95 | max_tile=   64
Episode   264 | score=  2392 | reward=   23.92 | moves= 201 | max_tile=  256
Episode   265 | score=  1072 | reward=   10.72 | moves= 115 | max_tile=  128
Episode   266 | score=   300 | reward=    3.00 | moves=  54 | max_tile=   32
Episode   267 | score=  1796 | reward=   17.96 | moves= 169 | max_tile=  128
Episode   268 | score=  1472 | reward=   14.72 | moves= 153 | max_tile=  128
Episode   269 | score=   600 | reward=    6.00 | moves=  83 | max_tile=   64
Episode   270 | score=  1436 | reward=   14.36 | moves= 148 | max_tile=  128
Episode   271 | score=  1340 | reward=   13.40 | moves= 140 | max_tile=  128
Episode   272 | score=  1480 | reward=   14.80 | moves= 148 | max_tile=  128
Episode   273 | score=  1468 | reward=   14.68 | moves= 151 | max_tile=  128
Episode   274 | score=   804 | reward=    8.04 | moves= 100 | max_tile=   64
Episode   275 | score=  1436 | reward=   14.36 | moves= 148 | max_tile=  128
Episode   276 | score=  1008 | reward=   10.08 | moves= 110 | max_tile=  128
Episode   277 | score=  1768 | reward=   17.68 | moves= 165 | max_tile=  128
Episode   278 | score=  1324 | reward=   13.24 | moves= 138 | max_tile=  128
Episode   279 | score=   672 | reward=    6.72 | moves=  87 | max_tile=   64
Episode   280 | score=   708 | reward=    7.08 | moves=  94 | max_tile=   64
Episode   281 | score=  1420 | reward=   14.20 | moves= 149 | max_tile=  128
Episode   282 | score=  2836 | reward=   28.36 | moves= 245 | max_tile=  256
Episode   283 | score=  2288 | reward=   22.88 | moves= 187 | max_tile=  256
Episode   284 | score=  1108 | reward=   11.08 | moves= 116 | max_tile=  128
Episode   285 | score=   636 | reward=    6.36 | moves=  89 | max_tile=   64
Episode   286 | score=  2364 | reward=   23.64 | moves= 196 | max_tile=  256
Episode   287 | score=  1332 | reward=   13.32 | moves= 138 | max_tile=  128
Episode   288 | score=   472 | reward=    4.72 | moves=  68 | max_tile=   64
Episode   289 | score=   576 | reward=    5.76 | moves=  80 | max_tile=   64
Episode   290 | score=  1364 | reward=   13.64 | moves= 142 | max_tile=  128
Episode   291 | score=   444 | reward=    4.44 | moves=  64 | max_tile=   64
Episode   292 | score=   516 | reward=    5.16 | moves=  75 | max_tile=   64
Episode   293 | score=   664 | reward=    6.64 | moves=  89 | max_tile=   64
Episode   294 | score=   268 | reward=    2.68 | moves=  51 | max_tile=   32
Episode   295 | score=  1320 | reward=   13.20 | moves= 136 | max_tile=  128
Episode   296 | score=   656 | reward=    6.56 | moves=  87 | max_tile=   64
