Episode  209 | score=   860 | reward=    8.60 | moves= 111 | max_tile=   64 | eps=0.534
Episode  210 | score=  1696 | reward=   16.96 | moves= 174 | max_tile=  128 | eps=0.532
Episode  211 | score=  1424 | reward=   14.24 | moves= 147 | max_tile=  128 | eps=0.530
Episode  212 | score=   508 | reward=    5.08 | moves=  73 | max_tile=   64 | eps=0.529
Episode  213 | score=   688 | reward=    6.88 | moves=  94 | max_tile=   64 | eps=0.527
Episode  214 | score=  1344 | reward=   13.44 | moves= 138 | max_tile=  128 | eps=0.526
Episode  215 | score=   684 | reward=    6.84 | moves=  90 | max_tile=   64 | eps=0.524
Episode  216 | score=  1564 | reward=   15.64 | moves= 154 | max_tile=  128 | eps=0.523
Episode  217 | score=  2668 | reward=   26.68 | moves= 213 | max_tile=  256 | eps=0.521
Episode  218 | score=  1008 | reward=   10.08 | moves= 107 | max_tile=  128 | eps=0.519
Episode  219 | score=  1864 | reward=   18.64 | moves= 175 | max_tile=  128 | eps=0.518
Episode  220 | score=   472 | reward=    4.72 | moves=  76 | max_tile=   32 | eps=0.516
Episode  221 | score=  1352 | reward=   13.52 | moves= 140 | max_tile=  128 | eps=0.515
Episode  222 | score=   940 | reward=    9.40 | moves= 101 | max_tile=  128 | eps=0.513
Episode  223 | score=  1500 | reward=   15.00 | moves= 159 | max_tile=  128 | eps=0.512
Episode  224 | score=  1064 | reward=   10.64 | moves= 115 | max_tile=  128 | eps=0.510
Episode  225 | score=   980 | reward=    9.80 | moves= 108 | max_tile=  128 | eps=0.509
Episode  226 | score=  1412 | reward=   14.12 | moves= 150 | max_tile=  128 | eps=0.507
Episode  227 | score=   624 | reward=    6.24 | moves=  86 | max_tile=   64 | eps=0.506
Episode  228 | score=   568 | reward=    5.68 | moves=  80 | max_tile=   64 | eps=0.504
Episode  229 | score=   996 | reward=    9.96 | moves= 105 | max_tile=  128 | eps=0.503
Episode  230 | score=  1400 | reward=   14.00 | moves= 144 | max_tile=  128 | eps=0.501
Episode  231 | score=   600 | reward=    6.00 | moves=  81 | max_tile=   64 | eps=0.500
Episode  232 | score=  1180 | reward=   11.80 | moves= 121 | max_tile=  128 | eps=0.498
Episode  233 | score=   320 | reward=    3.20 | moves=  59 | max_tile=   32 | eps=0.497
Episode  234 | score=  1080 | reward=   10.80 | moves= 113 | max_tile=  128 | eps=0.495
